OBJECTID,UNITID,AGENCY,FIRENAME,FIRENUM,STARTDATE,PERIMDATE,ACRES,YEAR,CAUSE,SHAPEAREA,SHAPELEN
143,WACOA,COLVILLE AGENCY,CONCRETE PLANT,265,2009/08/27 07:00:00+00,2009/08/28 07:00:00+00,195.80526241,2009,ARSON,8529243.1134775,13279.8055903148
144,WANCP,NORTH CASCADES NP,BRUSH CREEK,203,2009/08/02 07:00:00+00,2009/08/09 07:00:00+00,391.44204795,2009,LIGHTNING,17051147.4037605,21839.0646630885
145,WAOWF,OKAN-WEN NF,PRESTON-FOX,UNKNOWN,2009/10/04 07:00:00+00,2009/10/07 07:00:00+00,1215.98778453,2009,DEBRIS BURN,52968216.020533,32781.8377250089
146,WAOWF,OKAN-WEN NF,TWIN PEAKS,UNKNOWN,2009/09/03 07:00:00+00,2009/09/25 07:00:00+00,666.36478804,2009,UNKNOWN,29026734.059872,26803.8586712469
147,WACCC,COLUMBIA CASCADE,DALLESPORT,001,2010/07/12 07:00:00+00,2010/07/13 07:00:00+00,1179.06539837,2010,POWER LINE,51359883.3127005,33858.6818889129
148,WASES,WA DNR - SE REGION,SWAKANE,249,2010/07/10 07:00:00+00,2010/07/16 07:00:00+00,19437.00371798,2010,MISCELLANEOUS,846672495.254976,149484.097735367
149,WAYKCN,YAKIMA COUNTY FD,COWICHE MILL,102,2010/07/18 07:00:00+00,2010/07/19 07:00:00+00,6190.6972946,2010,MISCELLANEOUS,269665695.486875,79784.9450002597
150,WASPA,SPOKANE AGENCY,LINE,005629,2010/07/12 07:00:00+00,2010/07/15 07:00:00+00,909.85577433,2010,MISCELLANEOUS,39633158.996867,50876.460100917
151,WANCP,NORTH CASCADES NP,DEVILS GULCH,298,2010/07/29 07:00:00+00,2010/08/02 07:00:00+00,36.63409036,2010,LIGHTNING,1595774.5931235,7120.94253628609
152,WANCP,NORTH CASCADES NP,NAHAHUM,346,2010/07/29 07:00:00+00,2010/08/02 07:00:00+00,1947.45079312,2010,LIGHTNING,84830617.224801,64413.3836781805
153,WANCP,NORTH CASCADES NP,TRIPP CANYON,346,2010/07/29 07:00:00+00,2010/08/02 07:00:00+00,71.54657712,2010,LIGHTNING,3116556.4329475,7583.75126872207
154,WA,UNKNOWN,EXCELSIOR ROAD,UNKNOWN,1987/01/01 08:00:00+00,1987/01/01 08:00:00+00,1255.68839052,1987,UNKNOWN,54697567.5,52648.1172330526
155,WA,UNKNOWN,SALNAVE,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,463.60812165,1991,UNKNOWN,20194689,24364.8285853942
156,WA,UNKNOWN,SPRINGDALE,UNKNOWN,1991/08/01 07:00:00+00,1991/08/01 07:00:00+00,628.65719782,1991,UNKNOWN,27384198,32241.286818876
157,WAWFS,WA FIRE SERVICE,BROWNS CANYON FIRE (BADGER MTN COMPLEX),902,2008/07/09 07:00:00+00,2008/07/14 07:00:00+00,1782.34822885,2008,MISCELLANEOUS,77638778.2927585,45355.9500435516
158,WAWFS,WA FIRE SERVICE,BAIRD SPRINGS,812,2008/06/15 07:00:00+00,2008/06/16 07:00:00+00,3645.75496607,2008,UNKNOWN,158808451.0861,67348.1266188573
159,WACOA,COLVILLE AGENCY,COLUMBIA RIVER ROAD,205,2008/08/07 07:00:00+00,2008/08/13 07:00:00+00,22155.09265476,2008,ARSON,965071975.74198,224055.507505252
160,WACOA,COLVILLE AGENCY,FRENCH VALLEY,165,2008/07/10 07:00:00+00,2008/07/13 07:00:00+00,1366.42475276,2008,UNKNOWN,59521224.1448145,49252.6725405531
161,WANES,WA DNR - NE REGION,GREEN LAKE,595,2008/07/31 07:00:00+00,2008/08/01 07:00:00+00,1350.32718303,2008,STRUCTURE FIRE,58820016.811837,36273.6643369838
162,WAMCR,MID COLUMBIA NWR,INCIDENT 262,0061,2008/07/27 07:00:00+00,2008/07/27 07:00:00+00,3142.16921166,2008,UNKNOWN,136872343.36901,54149.810888724
163,WAOWF,OKAN-WEN NF,JACK CREEK,481,2008/08/10 07:00:00+00,2008/08/19 07:00:00+00,1057.71002699,2008,LIGHTNING,46073664.48048,38594.3378765026
164,WANES,WA DNR - NE REGION,JACKASS BUTTE (RATTLESNAKE POINT COMPLEX),193,2008/07/01 07:00:00+00,2008/07/04 07:00:00+00,1765.70079189,2008,LIGHTNING,76913618.8394625,43888.4565919824
165,WANES,WA DNR - NE REGION,RATTLESNAKE POINT COMPLEX,193,2008/07/01 07:00:00+00,2008/07/01 07:00:00+00,752.53378316,2008,UNKNOWN,32780240.473232,29932.428381424
166,WAWFS,WA FIRE SERVICE,ROCK LAKE,910,2008/08/18 07:00:00+00,2008/08/19 07:00:00+00,2287.50288034,2008,UNKNOWN,99643226.8935555,86207.5327182018
167,WAWFS,WA FIRE SERVICE,SEEP LAKES,813,2008/06/29 07:00:00+00,2008/06/30 07:00:00+00,1901.06872278,2008,MISCELLANEOUS,82810222.322295,66657.0701258865
168,WANES,WA DNR - NE REGION,SPOKANE VALLEY,378,2008/07/10 07:00:00+00,2008/07/13 07:00:00+00,1005.79276005,2008,UNKNOWN,43812157.378674,35497.9154127391
169,WANES,WA DNR - NE REGION,SWANSON LAKE,866,2008/08/18 07:00:00+00,2008/08/26 07:00:00+00,18038.73104031,2008,UNKNOWN,785763981.05036,335668.382660988
170,WACOA,COLVILLE AGENCY,WILMONT,180,2008/07/13 07:00:00+00,2008/07/14 07:00:00+00,148.8113823,2008,LIGHTNING,6482197.8839135,15159.9642760552
171,WAYAA,BIA - YAKIMA,RANSIER ROAD,UNKNOWN,2009/06/29 07:00:00+00,2009/06/29 07:00:00+00,354.17699465,2009,UNKNOWN,15427888.1753265,25521.050790918
172,WASES,WA DNR - SE REGION,FORREST,UNKNOWN,2009/07/11 07:00:00+00,2009/07/12 07:00:00+00,255.38194915,2009,UNKNOWN,11124393.207293,20636.5269555278
173,WAHNC,HANFORD,ENW,UNKNOWN,2009/07/17 07:00:00+00,2009/07/17 07:00:00+00,3.22583479,2009,UNKNOWN,140516.8014825,1402.24792380267
174,WACOA,COLVILLE AGENCY,FISH HATCHERY,UNKNOWN,2009/07/23 07:00:00+00,2009/07/25 07:00:00+00,237.13494544,2009,LIGHTNING,10329556.9050565,17026.8751184322
175,WACOA,COLVILLE AGENCY,OWHI TREE,UNKNOWN,2009/07/23 07:00:00+00,2009/07/25 07:00:00+00,10.45928908,2009,LIGHTNING,455604.809773,2886.58198515469
176,WACOA,COLVILLE AGENCY,JOHNSON LAKE,165,2009/07/23 07:00:00+00,2009/07/25 07:00:00+00,711.99459944,2009,LIGHTNING,31014360.693884,34222.1710171628
177,WAMSF,MT. BAKER-SNOQ NF,DEER 1,UNKNOWN,2009/07/30 07:00:00+00,2009/08/05 07:00:00+00,0.53222827,2009,UNKNOWN,23183.7707145,949.116346488596
178,WAWFS,WA FIRE SERVICE,UNION VALLEY,UNKNOWN,2009/07/29 07:00:00+00,2009/08/01 07:00:00+00,524.69205564,2009,LIGHTNING,22855494.521611,28426.7301425317
179,WAGPF,GIFFORD PINCHOT NF,LANGILLE,UNKNOWN,2009/07/27 07:00:00+00,2009/08/02 07:00:00+00,471.01319057,2009,UNKNOWN,20517252.511798,21911.4394812797
180,WAWFS,WA FIRE SERVICE,MILEPOST 31,208,2012/06/13 07:00:00+00,2012/06/14 07:00:00+00,1127.69544198,2012,UNKNOWN,49122216.963129,52351.1518469105
181,WASES,WA DNR - SE REGION,EUREKA,106,2010/08/06 07:00:00+00,2010/08/08 07:00:00+00,20835.47526597,2010,UNKNOWN,907589672.216169,187472.678415398
182,WAOWF,OKAN-WEN NF,BOULDER CREEK,444,2010/08/04 07:00:00+00,2010/08/10 07:00:00+00,10100.76006235,2010,UNKNOWN,439987348.361308,96227.9480805523
183,WAOLP,OLYMPIC NP,HOPPER,010,2010/08/05 07:00:00+00,2010/08/18 07:00:00+00,385.06521319,2010,LIGHTNING,16773373.5929515,26620.8502837484
184,WANES,WA DNR - NE REGION,FISH HATCHERY,707,2010/08/26 07:00:00+00,2010/08/29 07:00:00+00,646.51561266,2010,POWER LINE,28162107.438804,42404.4032397705
185,WASES,WA DNR - SE REGION,HIWAY 8 FIRE,00543,2010/08/26 07:00:00+00,2010/08/30 07:00:00+00,2018.38353788,2010,POWER LINE,87920435.2271625,65856.0258396443
186,WANES,WA DNR - NE REGION,SLIDE CREEK,711,2010/08/26 07:00:00+00,2010/08/27 07:00:00+00,990.42358019,2010,POWER LINE,43142678.581954,42841.1771560389
187,WACOA,COLVILLE AGENCY,BUFFALO LAKE,163,2010/08/27 07:00:00+00,2010/08/28 07:00:00+00,407.94807233,2010,ARSON,17770146.9499325,24818.041227763
188,WASES,WA DNR - SE REGION,BAIRD SPRINGS,110,2010/09/10 07:00:00+00,2010/09/11 07:00:00+00,7668.88221653,2010,UNKNOWN,334055173.127242,106482.166300455
189,WAHNC,HANFORD,FFTF,0742,2010/08/01 07:00:00+00,2010/08/01 07:00:00+00,1266.00595102,2010,UNKNOWN,55146998.6375745,50930.8147402069
190,WAPCS,WA DNR - PC REGION,HILLTOP,0052,2010/08/14 07:00:00+00,2010/08/14 07:00:00+00,133.99953977,2010,UNKNOWN,5836996.604361,15023.7282164321
191,WAPCS,WA DNR - PC REGION,SPEELYAI,035,2010/07/24 07:00:00+00,2010/07/26 07:00:00+00,122.54881002,2010,UNKNOWN,5338204.8113885,11525.5971631211
192,WAWFS,WA FIRE SERVICE,VANSYCLE CANYON,202,2011/08/07 07:00:00+00,2011/08/07 07:00:00+00,4509.45682982,2011,UNKNOWN,196431153.779799,108330.326824301
193,WAOWF,OKAN-WEN NF,TUMWATER CANYON,323,2011/08/18 07:00:00+00,2011/08/21 07:00:00+00,458.11336064,2011,MISCELLANEOUS,19955338.1679525,23488.1933338422
194,WANES,WA DNR - NE REGION,SALMON,662,2011/08/29 07:00:00+00,2011/08/31 07:00:00+00,1979.07434739,2011,MISCELLANEOUS,86208133.7385775,54805.7513960686
195,WAOLP,OLYMPIC NP,BIG HUMP,124,2011/09/01 07:00:00+00,2011/09/16 07:00:00+00,1238.08228311,2011,UNKNOWN,53930648.5289715,58802.7344396709
196,WAWFS,WA FIRE SERVICE,WISHRAM II,409,2011/08/29 07:00:00+00,2011/08/29 07:00:00+00,9064.45533217,2011,UNKNOWN,394846094.880016,124948.952538553
197,WASES,WA DNR - SE REGION,MONASTERY COMPLEX,428,2011/09/07 07:00:00+00,2011/09/14 07:00:00+00,3621.14474022,2011,MISCELLANEOUS,157736433.936353,98638.8410202757
198,WANES,WA DNR - NE REGION,BARBER MOUNTAIN,786,2011/09/19 07:00:00+00,2011/09/19 07:00:00+00,814.61351612,2011,UNKNOWN,35484422.8241025,23137.6000842268
199,WACOA,COLVILLE AGENCY,KWEI KWEI CREEK,085,2011/08/06 07:00:00+00,2011/08/10 07:00:00+00,625.77331179,2011,UNKNOWN,27258576.427111,26846.515046034
200,WANES,WA DNR - NE REGION,MARYLS ROAD,489,2011/08/09 07:00:00+00,2011/08/10 07:00:00+00,408.59884586,2011,UNKNOWN,17798494.531477,24989.5541327427
201,WASES,WA DNR - SE REGION,WASHINGTON CREEK,257,2011/08/01 07:00:00+00,2011/08/06 07:00:00+00,245.68283678,2011,UNKNOWN,10701901.562604,18267.7159393812
202,WASPS,WA DNR - SPS REGION,EELS HILL,UNKNOWN,2011/08/17 07:00:00+00,2011/09/10 07:00:00+00,49.9780847,2011,UNKNOWN,2177036.6611475,7645.3675012371
203,WASES,WA DNR - SE REGION,NAVARRE,125,2012/07/05 07:00:00+00,2012/07/06 07:00:00+00,602.21934453,2012,MISCELLANEOUS,26232569.7171175,19469.6375895853
204,WANCP,NORTH CASCADES NP,RAINBOW BRIDGE,005,2010/07/29 07:00:00+00,2010/08/02 07:00:00+00,4117.8871198,2010,UNKNOWN,179374445.438809,83540.3520720153
205,WAOWF,OKAN-WEN NF,VIRGINIA LAKE,UNKNOWN,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,36683.98601782,2001,UNKNOWN,1597948039.1249,204731.761641437
206,WAOWF,OKAN-WEN NF,ROCKY HULL,UNKNOWN,2000/07/22 07:00:00+00,2000/07/26 07:00:00+00,9481.85678068,2000,LIGHTNING,413028029.249546,143949.310325764
207,WAOWF,OKAN-WEN NF,WHISKY MOUNTAIN,353,2007/08/18 07:00:00+00,2007/08/18 07:00:00+00,961.00487006,2007,LIGHTNING,41861204.694356,44857.3237702411
208,WA,UNKNOWN,FERN ROAD,UNKNOWN,2002/09/16 07:00:00+00,2002/09/16 07:00:00+00,15.65862786,2002,UNKNOWN,682087.101386,3312.09928206909
209,ORCGF,COLUMBIA RG NSA,COURTNEY ROAD,UNKNOWN,2001/07/12 07:00:00+00,2001/07/12 07:00:00+00,89.65697123,2001,UNKNOWN,3905442.045127,12162.7240396454
210,ORPRD,PRINEVILLE DIST,DOG CREEK,UNKNOWN,2001/07/12 07:00:00+00,2001/07/12 07:00:00+00,568.58337726,2001,UNKNOWN,24767392.843762,28048.6525487926
211,ORCGF,COLUMBIA RG NSA,UNKNOWN,UNKNOWN,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,93.34318517,2001,UNKNOWN,4066012.881793,8295.52575518524
212,WAOWF,OKAN-WEN NF,AMABILIS,00734,2006/10/12 07:00:00+00,2006/12/10 08:00:00+00,116.99950814,2006,UNKNOWN,5096478.1886495,11640.3382676775
213,WAOWF,OKAN-WEN NF,RATTLESNAKE CREEK,077,2007/08/05 07:00:00+00,2007/08/05 07:00:00+00,1653.59408222,2007,UNKNOWN,72030270.0995015,51586.500982657
214,WAOWF,OKAN-WEN NF,TROUT,131,2006/06/27 07:00:00+00,2006/06/27 07:00:00+00,139.95743282,2006,EQUIPMENT USE,6096521.3876615,14649.2512062115
215,WAGPF,GIFFORD PINCHOT NF,LOST LAKE,UNKNOWN,2003/05/08 07:00:00+00,2003/05/08 07:00:00+00,265.02327787,2003,UNKNOWN,11544367.8065,16507.5345910201
216,WAYAA,BIA - YAKIMA,MILE MARKER 44,100,2004/08/11 07:00:00+00,2004/08/13 07:00:00+00,126.13880661,2004,UNKNOWN,5494584.4373365,15170.7699714392
217,WAOWF,OKAN-WEN NF,CAPE LABELLE,047,2001/08/01 07:00:00+00,2001/08/01 07:00:00+00,260.35904241,2001,UNKNOWN,11341194.522335,19106.3116903104
218,WA,UNKNOWN,AVERY,UNKNOWN,2003/07/13 07:00:00+00,2003/07/13 07:00:00+00,284.03341072,2003,UNKNOWN,12372445.8811485,32819.7816004638
219,WASES,WA DNR - SE REGION,ROCKY FORD,509,2006/06/28 07:00:00+00,2006/06/28 07:00:00+00,3183.48271274,2006,UNKNOWN,138671952.277299,54979.7546307276
220,ORUMF,UMATILLA NF,COTTONWOOD,258,2007/08/18 07:00:00+00,2008/05/29 07:00:00+00,3399.02911089,2007,EQUIPMENT USE,148061115.824266,72822.8105742824
221,WAOWF,OKAN-WEN NF,LEMAH,102,2009/07/25 07:00:00+00,2009/07/25 07:00:00+00,649.35772031,2009,LIGHTNING,28285909.1529295,23823.8260532222
222,WAOWF,OKAN-WEN NF,SHULL RIDGE,061,2009/07/17 07:00:00+00,2009/07/17 07:00:00+00,211.74649621,2009,LIGHTNING,9223640.480222,16532.6416267414
223,WAOWF,OKAN-WEN NF,SABLE,155,2009/07/30 07:00:00+00,2009/07/30 07:00:00+00,542.3959843,2009,LIGHTNING,23626674.5693465,24827.307215784
224,WAMSF,MT. BAKER-SNOQ NF,MINERAL PARK,053,2003/08/01 07:00:00+00,2003/08/01 07:00:00+00,403.96614476,2003,UNKNOWN,17596694.878794,18944.5595903195
225,WAMSF,MT. BAKER-SNOQ NF,SWIFT CREEK,062,2004/07/24 07:00:00+00,2004/07/27 07:00:00+00,536.76631734,2004,LIGHTNING,23381447.2570815,18858.2928624525
226,WAMSF,MT. BAKER-SNOQ NF,SPRING,082,2009/08/26 07:00:00+00,2009/08/26 07:00:00+00,219.66443002,2009,LIGHTNING,9568544.29758,13495.1350757873
227,WAOWF,OKAN-WEN NF,POWDER MOUNTAIN,247,2009/07/26 07:00:00+00,2009/07/26 07:00:00+00,194.43637588,2009,LIGHTNING,8469614.654561,19589.8972686089
228,WAOWF,OKAN-WEN NF,FOAM CREEK WFU,061,2008/08/08 07:00:00+00,2008/08/08 07:00:00+00,602.4755335,2008,LIGHTNING,26243729.2639335,27863.0533956524
229,WAMSF,MT. BAKER-SNOQ NF,DOWNEY,063,2004/08/01 07:00:00+00,2004/08/01 07:00:00+00,319.68472309,2004,UNKNOWN,13925410.8359665,15548.1606230335
230,WAMSF,MT. BAKER-SNOQ NF,SONNY BOY,056,2003/08/01 07:00:00+00,2003/08/01 07:00:00+00,391.14601969,2003,UNKNOWN,17038252.464435,19061.6403524142
231,WAMSF,MT. BAKER-SNOQ NF,DOME CREEK,063,2004/08/01 07:00:00+00,2004/08/01 07:00:00+00,229.20416381,2004,UNKNOWN,9984093.4389305,12539.9833440464
232,WAOWF,OKAN-WEN NF,MCCOY,111,2007/09/27 07:00:00+00,2007/09/27 07:00:00+00,484.66368623,2007,UNKNOWN,21111865.724617,21469.3857268917
233,WAOWF,OKAN-WEN NF,EIGHTMILE,106,2010/08/18 07:00:00+00,2010/08/18 07:00:00+00,189.89080314,2010,LIGHTNING,8271610.2981515,11974.5440223053
234,WAOWF,OKAN-WEN NF,CRYSTAL,122,2003/08/01 07:00:00+00,2003/08/01 07:00:00+00,1284.65082626,2003,UNKNOWN,55959166.154444,47262.3456386597
235,WASES,WA DNR - SE REGION,MIDDLE FORK,UNKNOWN,2003/08/01 07:00:00+00,2003/08/01 07:00:00+00,2109.98353987,2003,UNKNOWN,91910515.353394,45320.9893520328
236,WASES,WA DNR - SE REGION,CARPENTER GULCH,287,2008/07/09 07:00:00+00,2008/08/11 07:00:00+00,120.7232244,2008,MISCELLANEOUS,5258682.620169,10019.1871778595
237,WASES,WA DNR - SE REGION,NORTH FORK,408,2005/08/29 07:00:00+00,2005/08/29 07:00:00+00,136.25182958,2005,UNKNOWN,5935105.956185,10160.3600885706
238,WACOA,COLVILLE AGENCY,RATTLESNAKE,070,2013/07/04 07:00:00+00,2013/07/05 07:00:00+00,506.66199677,2013,MISCELLANEOUS,22070108.2983775,19755.4985039086
239,WASES,WA DNR - SE REGION,25 MILE,199,2013/07/04 07:00:00+00,2013/07/08 07:00:00+00,2097.80322123,2013,UNKNOWN,91379942.795893,58918.5259845927
240,WACOA,COLVILLE AGENCY,HWY 155,118,2013/07/08 07:00:00+00,2013/07/10 07:00:00+00,194.22565463,2013,MISCELLANEOUS,8460435.673792,14281.2208144764
241,WANES,WA DNR - NE REGION,KNOX IN THE MIDDLE,642,2013/08/01 07:00:00+00,2013/08/05 07:00:00+00,79.74378985,2013,LIGHTNING,3473625.5914655,7012.34737697794
242,WANES,WA DNR - NE REGION,KNOX KNOX,650,2013/08/01 07:00:00+00,2013/08/05 07:00:00+00,3.95287959,2013,LIGHTNING,172186.7461925,1900.84640308236
243,WAOWF,OKAN-WEN NF,MOORE POINT,366,2013/07/28 07:00:00+00,2013/08/03 07:00:00+00,1573.13792257,2013,LIGHTNING,68525613.8038005,41993.6711721152
244,WAYAA,BIA - YAKIMA,MILE MARKER 28,081,2013/07/24 07:00:00+00,2013/08/04 07:00:00+00,26091.66238271,2013,MISCELLANEOUS,1136548267.18398,237574.704666563
245,WAOWF,OKAN-WEN NF,BUCKHORN,610,2012/09/09 07:00:00+00,2012/09/24 07:00:00+00,4631.12177558,2012,LIGHTNING,201730857.618294,71123.1921496794
246,WAOWF,OKAN-WEN NF,FRENCH CABIN CREEK,589,2012/09/10 07:00:00+00,2012/09/24 07:00:00+00,42.73913369,2012,LIGHTNING,1861709.2167825,6192.76621205556
247,WAOWF,OKAN-WEN NF,FIRST CREEK,573,2012/09/09 07:00:00+00,2012/09/25 07:00:00+00,1361.00014754,2012,LIGHTNING,59284929.2862555,64596.0447332361
248,WAOWF,OKAN-WEN NF,MAVERICK,612,2012/09/11 07:00:00+00,2012/09/27 07:00:00+00,20.54254177,2012,LIGHTNING,894829.540096,4392.5889028867
249,WAOWF,OKAN-WEN NF,GOAT,649,2012/09/15 07:00:00+00,2012/09/26 07:00:00+00,7377.6025074,2012,MISCELLANEOUS,321367079.750263,114677.21590158
250,WAOWF,OKAN-WEN NF,POISON CANYON,470,2012/09/08 07:00:00+00,2012/09/29 07:00:00+00,5931.40079488,2012,LIGHTNING,258370785.138657,87919.8133590553
251,WAOWF,OKAN-WEN NF,CANYON,559,2012/09/09 07:00:00+00,2012/09/29 07:00:00+00,7557.52421717,2012,LIGHTNING,329204438.078341,114918.867087571
252,WAOWF,OKAN-WEN NF,WHITE PINE,655,2012/09/11 07:00:00+00,2012/09/30 07:00:00+00,60.85919638,2012,LIGHTNING,2651015.9903935,7027.35841279747
253,WAOWF,OKAN-WEN NF,CASHMERE,548,2012/09/09 07:00:00+00,2012/10/06 07:00:00+00,2791.69448074,2012,UNKNOWN,121605725.156531,90124.3576849525
254,WAOWF,OKAN-WEN NF,PYRAMID,510,2012/09/09 07:00:00+00,2012/10/06 07:00:00+00,1906.12772526,2012,LIGHTNING,83030591.5889365,44616.6276745303
255,WAOWF,OKAN-WEN NF,KLONE PEAK,507,2012/09/09 07:00:00+00,2012/10/06 07:00:00+00,1506.49192302,2012,LIGHTNING,65622525.6759455,50631.2109520928
256,WAOWF,OKAN-WEN NF,BASALT PEAK,620,2012/09/12 07:00:00+00,2012/10/06 07:00:00+00,1261.05014419,2012,UNKNOWN,54931124.5559565,38232.7281295968
257,WAOWF,OKAN-WEN NF,CUITIN LAKE,656,2012/09/11 07:00:00+00,2012/10/06 07:00:00+00,309.12280753,2012,LIGHTNING,13465335.634722,25045.2609577306
258,WAOWF,OKAN-WEN NF,SEARS CREEK,511,2012/09/09 07:00:00+00,2012/10/06 07:00:00+00,656.20735759,2012,UNKNOWN,28584278.1591725,28675.8100468684
259,WAOWF,OKAN-WEN NF,PEAVINE CANYON,482,2012/09/08 07:00:00+00,2012/10/06 07:00:00+00,19997.98138104,2012,LIGHTNING,871108584.513459,238886.544469357
260,WASPS,WA DNR - SPS REGION,POWERLINE #2,066,2012/10/04 07:00:00+00,2012/10/06 07:00:00+00,229.4779795,2012,ARSON,9996020.8028215,19724.5705054701
261,WAOWF,OKAN-WEN NF,TABLE MOUNTAIN FIRE,642,2012/09/15 07:00:00+00,2012/10/06 07:00:00+00,42481.23861478,2012,LIGHTNING,1850475352.13611,324172.530572214
262,WACOA,COLVILLE AGENCY,ST MARY'S MISSION ROAD,012198,2012/10/02 07:00:00+00,2012/10/10 07:00:00+00,16853.18303864,2012,UNKNOWN,734121716.667537,273642.706281212
263,WAGPF,GIFFORD PINCHOT NF,CASCADE CREEK,563,2012/09/09 07:00:00+00,2012/10/07 07:00:00+00,20096.32065296,2012,LIGHTNING,875392226.06359,293816.220620121
264,WACOF,COLVILLE NF,RADIO,1010,2012/09/11 07:00:00+00,2012/10/01 07:00:00+00,190.95832857,2012,LIGHTNING,8318111.51982,12094.970044419
265,WAGPF,GIFFORD PINCHOT NF,SOUTH POINT,628,2012/09/19 07:00:00+00,2012/10/09 07:00:00+00,336.81498277,2012,UNKNOWN,14671601.9627555,18678.7479125875
266,WASES,WA DNR - SE REGION,FOSTER CREEK,0184,2012/07/12 07:00:00+00,2012/07/16 07:00:00+00,1294.12726798,2012,LIGHTNING,56371958.304801,62912.3391585081
267,WASES,WA DNR - SE REGION,QUILOMENE,170,2012/07/12 07:00:00+00,2012/07/17 07:00:00+00,156.93495816,2012,LIGHTNING,6836059.4329805,19648.8322700893
268,WASES,WA DNR - SE REGION,LITTTLE PARKE CREEK,433,2012/09/05 07:00:00+00,2012/09/07 07:00:00+00,692.94103598,2012,RECREATION,30184390.7894085,37334.4695672318
269,WACOA,COLVILLE AGENCY,METEOR,048,2012/04/11 07:00:00+00,2012/11/19 08:00:00+00,210.58514453,2012,UNKNOWN,9173052.203618,13425.5041305796
270,WACOA,COLVILLE AGENCY,SOUTH OMAK LAKE,106,2012/07/13 07:00:00+00,2012/11/19 08:00:00+00,1002.99843724,2012,UNKNOWN,43690437.163767,53397.7662716067
271,WAYAA,BIA - YAKIMA,NORTH AHTANUM,118,2012/08/31 07:00:00+00,2012/09/02 07:00:00+00,1661.10995281,2012,UNKNOWN,72357660.11306,45683.1439795528
272,WASPD,SPOKANE BLM,CACHE BUTTE,50156,2012/07/10 07:00:00+00,2012/07/10 07:00:00+00,470.30298593,2012,UNKNOWN,20486316.1214105,19173.0913292003
273,WASPD,SPOKANE BLM,CRANE ROAD,302,2012/08/01 07:00:00+00,2012/08/01 07:00:00+00,11131.87513842,2012,UNKNOWN,484902541.413719,128842.657439834
274,WASPD,SPOKANE BLM,WASHOUT,50111,2012/06/30 07:00:00+00,2012/06/30 07:00:00+00,595.70041073,2012,UNKNOWN,25948606.0968205,42328.7593999112
275,WAGPF,GIFFORD PINCHOT NF,COLD SPRINGS,005,2008/07/12 07:00:00+00,2008/07/20 07:00:00+00,7982.99113452,2008,LIGHTNING,347737702.864645,102604.89033122
276,WAOLS,WA DNR - OLY REGION,BECKETT POINT,UNKNOWN,2011/09/05 07:00:00+00,2011/09/05 07:00:00+00,19.08746161,2011,UNKNOWN,831446.5021285,6054.27336799285
277,WASPS,WA DNR - SPS REGION,CALIFORNIA RD,UNKNOWN,2011/08/14 07:00:00+00,2011/08/14 07:00:00+00,0.40223456,2011,UNKNOWN,17521.2671365,807.222178912007
278,WAWFS,WA FIRE SERVICE,BELL PLAIN,UNKNOWN,2011/09/05 07:00:00+00,2011/09/05 07:00:00+00,3951.88057295,2011,UNKNOWN,172143229.18253,159420.425074094
279,WASPD,SPOKANE BLM,241-BLM,245,2012/07/19 07:00:00+00,2012/07/19 07:00:00+00,4614.20558781,2012,UNKNOWN,200993991.42658,93659.8554772753
280,WASPD,SPOKANE BLM,ANTOINE 2,50310,2012/08/05 07:00:00+00,2012/08/08 07:00:00+00,6838.65621357,2012,UNKNOWN,297890673.096799,92506.9642937236
281,WACOA,COLVILLE AGENCY,BUFFALO LAKE ROAD,148,2012/08/15 07:00:00+00,2012/08/18 07:00:00+00,11307.50802329,2012,LIGHTNING,492553079.27626,180204.482940872
282,WASPD,SPOKANE BLM,DEATH WIND CANYON,50368,2012/08/19 07:00:00+00,2012/08/19 07:00:00+00,824.0437755,2012,LIGHTNING,35895203.2797315,34888.8790001566
283,WASES,WA DNR - SE REGION,TAYLOR BRIDGE,064,2012/08/13 07:00:00+00,2012/08/22 07:00:00+00,23501.08189576,2012,MISCELLANEOUS,1023703032.55473,290684.113382721
284,WAYAA,BIA - YAKIMA,DIAMOND BUTTE,108,2012/08/19 07:00:00+00,2012/08/24 07:00:00+00,284.42605119,2012,UNKNOWN,12389549.2315215,25796.4447640742
285,WASPD,SPOKANE BLM,ROOSEVELT,119,2012/07/03 07:00:00+00,2012/07/06 07:00:00+00,2826.61213127,2012,MISCELLANEOUS,123126731.929677,61801.2351757374
286,ORWWF,WALLOWA-WHITMAN NF,CACHE CREEK,742,2012/08/21 07:00:00+00,2012/09/04 07:00:00+00,73694.73896911,2012,UNKNOWN,3210129988.93595,464900.460586341
287,WASES,WA DNR - SE REGION,HIGHWAY 141,430,2012/09/05 07:00:00+00,2012/09/09 07:00:00+00,1635.84274497,2012,UNKNOWN,71257024.9419595,62677.321660876
288,WACOA,COLVILLE AGENCY,MANILA CREEK,176,2012/09/09 07:00:00+00,2012/09/10 07:00:00+00,200.75702243,2012,LIGHTNING,8744940.9170255,14841.7281886554
289,WACOA,COLVILLE AGENCY,TOP OF PETER DAN CREEK,174,2012/09/08 07:00:00+00,2012/09/11 07:00:00+00,20.24074146,2012,LIGHTNING,881683.171093,4428.21746208642
