"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Race"	"Race Code"	"Sex"	"Sex Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15392	1696074	907.5
	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	14892	1664321	894.8
"Total"	"2006"	"2006"	"Oregon"	"41"	"White"	"2106-3"			30284	3360395	901.2
"Total"	"2006"	"2006"	"Oregon"	"41"					31380	3670883	854.8
	"2006"	"2006"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	321	65960	486.7
	"2006"	"2006"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	353	65767	536.7
"Total"	"2006"	"2006"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			674	131727	511.7
	"2006"	"2006"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	753	269261	279.7
	"2006"	"2006"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	823	236568	347.9
"Total"	"2006"	"2006"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1576	505829	311.6
	"2006"	"2006"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	552	129313	426.9
	"2006"	"2006"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	738	145824	506.1
"Total"	"2006"	"2006"	"Washington"	"53"	"Black or African American"	"2054-5"			1290	275137	468.9
	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	21668	2736161	791.9
	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	20912	2721899	768.3
"Total"	"2006"	"2006"	"Washington"	"53"	"White"	"2106-3"			42580	5458060	780.1
"Total"	"2006"	"2006"	"Washington"	"53"					46120	6370753	723.9
"Total"	"2006"	"2006"							314626	46062838	683.0
	"2007"	"2007"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	589	315677	186.6
	"2007"	"2007"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	775	320676	241.7
"Total"	"2007"	"2007"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1364	636353	214.3
	"2007"	"2007"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	8954	2686179	333.3
	"2007"	"2007"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	9842	2456074	400.7
"Total"	"2007"	"2007"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			18796	5142253	365.5
	"2007"	"2007"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8993	1338248	672.0
	"2007"	"2007"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9708	1301121	746.1
"Total"	"2007"	"2007"	"California"	"06"	"Black or African American"	"2054-5"			18701	2639369	708.5
	"2007"	"2007"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	96624	13874822	696.4
	"2007"	"2007"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	98235	13957514	703.8
"Total"	"2007"	"2007"	"California"	"06"	"White"	"2106-3"			194859	27832336	700.1
"Total"	"2007"	"2007"	"California"	"06"					233720	36250311	644.7
	"2007"	"2007"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	150	36387	412.2
	"2007"	"2007"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	159	36843	431.6
"Total"	"2007"	"2007"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			309	73230	422.0
	"2007"	"2007"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	221	86726	254.8
	"2007"	"2007"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	237	76605	309.4
"Total"	"2007"	"2007"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			458	163331	280.4
	"2007"	"2007"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	159	40313	394.4
	"2007"	"2007"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	232	45890	505.6
"Total"	"2007"	"2007"	"Oregon"	"41"	"Black or African American"	"2054-5"			391	86203	453.6
	"2007"	"2007"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15204	1715921	886.1
	"2007"	"2007"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	15041	1683732	893.3
"Total"	"2007"	"2007"	"Oregon"	"41"	"White"	"2106-3"			30245	3399653	889.6
"Total"	"2007"	"2007"	"Oregon"	"41"					31403	3722417	843.6
	"2007"	"2007"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	332	68058	487.8
	"2007"	"2007"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	349	68039	512.9
"Total"	"2007"	"2007"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			681	136097	500.4
	"2007"	"2007"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	795	281018	282.9
	"2007"	"2007"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	746	246824	302.2
"Total"	"2007"	"2007"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1541	527842	291.9
	"2007"	"2007"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	566	133263	424.7
	"2007"	"2007"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	717	150119	477.6
"Total"	"2007"	"2007"	"Washington"	"53"	"Black or African American"	"2054-5"			1283	283382	452.7
	"2007"	"2007"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	22164	2765461	801.5
	"2007"	"2007"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	21654	2748805	787.8
"Total"	"2007"	"2007"	"Washington"	"53"	"White"	"2106-3"			43818	5514266	794.6
"Total"	"2007"	"2007"	"Washington"	"53"					47323	6461587	732.4
"Total"	"2007"	"2007"							312446	46434315	672.9
	"2008"	"2008"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	638	331895	192.2
	"2008"	"2008"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	773	337772	228.9
"Total"	"2008"	"2008"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1411	669667	210.7
	"2008"	"2008"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	9532	2761968	345.1
	"2008"	"2008"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	10069	2520002	399.6
"Total"	"2008"	"2008"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			19601	5281970	371.1
	"2008"	"2008"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8910	1348565	660.7
	"2008"	"2008"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9395	1313789	715.1
"Total"	"2008"	"2008"	"California"	"06"	"Black or African American"	"2054-5"			18305	2662354	687.5
	"2008"	"2008"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	97197	13954544	696.5
	"2008"	"2008"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	98252	14035802	700.0
"Total"	"2008"	"2008"	"California"	"06"	"White"	"2106-3"			195449	27990346	698.3
"Total"	"2008"	"2008"	"California"	"06"					234766	36604337	641.4
	"2008"	"2008"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	140	37860	369.8
	"2008"	"2008"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	170	38539	441.1
"Total"	"2008"	"2008"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			310	76399	405.8
	"2008"	"2008"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	248	89679	276.5
	"2008"	"2008"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	222	78887	281.4
"Total"	"2008"	"2008"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			470	168566	278.8
	"2008"	"2008"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	182	41680	436.7
	"2008"	"2008"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	230	47706	482.1
"Total"	"2008"	"2008"	"Oregon"	"41"	"Black or African American"	"2054-5"			412	89386	460.9
	"2008"	"2008"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15381	1734316	886.9
	"2008"	"2008"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	15394	1700081	905.5
"Total"	"2008"	"2008"	"Oregon"	"41"	"White"	"2106-3"			30775	3434397	896.1
"Total"	"2008"	"2008"	"Oregon"	"41"					31967	3768748	848.2
	"2008"	"2008"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	362	70184	515.8
	"2008"	"2008"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	393	70728	555.6
"Total"	"2008"	"2008"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			755	140912	535.8
	"2008"	"2008"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	874	292223	299.1
	"2008"	"2008"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	868	257230	337.4
"Total"	"2008"	"2008"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1742	549453	317.0
	"2008"	"2008"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	574	137864	416.4
	"2008"	"2008"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	747	156684	476.8
"Total"	"2008"	"2008"	"Washington"	"53"	"Black or African American"	"2054-5"			1321	294548	448.5
	"2008"	"2008"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	22599	2792891	809.2
	"2008"	"2008"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	22210	2784427	797.7
"Total"	"2008"	"2008"	"Washington"	"53"	"White"	"2106-3"			44809	5577318	803.4
"Total"	"2008"	"2008"	"Washington"	"53"					48627	6562231	741.0
"Total"	"2008"	"2008"							315360	46935316	671.9
	"2009"	"2009"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	632	350822	180.1
	"2009"	"2009"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	753	358457	210.1
"Total"	"2009"	"2009"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1385	709279	195.3
	"2009"	"2009"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	9574	2833505	337.9
	"2009"	"2009"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	10246	2579211	397.3
"Total"	"2009"	"2009"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			19820	5412716	366.2
	"2009"	"2009"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8740	1363153	641.2
	"2009"	"2009"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9393	1328571	707.0
"Total"	"2009"	"2009"	"California"	"06"	"Black or African American"	"2054-5"			18133	2691724	673.7
	"2009"	"2009"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	95386	14035595	679.6
	"2009"	"2009"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	98012	14111915	694.5
"Total"	"2009"	"2009"	"California"	"06"	"White"	"2106-3"			193398	28147510	687.1
"Total"	"2009"	"2009"	"California"	"06"					232736	36961229	629.7
	"2009"	"2009"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	150	39234	382.3
	"2009"	"2009"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	165	40299	409.4
"Total"	"2009"	"2009"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			315	79533	396.1
	"2009"	"2009"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	232	92829	249.9
	"2009"	"2009"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	245	81626	300.1
"Total"	"2009"	"2009"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			477	174455	273.4
	"2009"	"2009"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	176	43189	407.5
	"2009"	"2009"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	231	49086	470.6
"Total"	"2009"	"2009"	"Oregon"	"41"	"Black or African American"	"2054-5"			407	92275	441.1
	"2009"	"2009"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15225	1747957	871.0
	"2009"	"2009"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	15212	1714380	887.3
"Total"	"2009"	"2009"	"Oregon"	"41"	"White"	"2106-3"			30437	3462337	879.1
"Total"	"2009"	"2009"	"Oregon"	"41"					31636	3808600	830.6
	"2009"	"2009"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	342	72086	474.4
	"2009"	"2009"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	397	72649	546.5
"Total"	"2009"	"2009"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			739	144735	510.6
	"2009"	"2009"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	894	303872	294.2
	"2009"	"2009"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	849	267997	316.8
"Total"	"2009"	"2009"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1743	571869	304.8
	"2009"	"2009"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	558	142882	390.5
	"2009"	"2009"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	731	163059	448.3
"Total"	"2009"	"2009"	"Washington"	"53"	"Black or African American"	"2054-5"			1289	305941	421.3
	"2009"	"2009"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	22315	2825080	789.9
	"2009"	"2009"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	22184	2819801	786.7
"Total"	"2009"	"2009"	"Washington"	"53"	"White"	"2106-3"			44499	5644881	788.3
"Total"	"2009"	"2009"	"Washington"	"53"					48270	6667426	724.0
"Total"	"2009"	"2009"							312642	47437255	659.1
	"2010"	"2010"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	669	365302	183.1
	"2010"	"2010"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	803	374040	214.7
"Total"	"2010"	"2010"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1472	739342	199.1
	"2010"	"2010"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	10127	2888780	350.6
	"2010"	"2010"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	10527	2626340	400.8
"Total"	"2010"	"2010"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			20654	5515120	374.5
	"2010"	"2010"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8690	1376482	631.3
	"2010"	"2010"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9110	1342297	678.7
"Total"	"2010"	"2010"	"California"	"06"	"Black or African American"	"2054-5"			17800	2718779	654.7
	"2010"	"2010"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	96152	14105562	681.7
	"2010"	"2010"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	97934	14175153	690.9
"Total"	"2010"	"2010"	"California"	"06"	"White"	"2106-3"			194086	28280715	686.3
"Total"	"2010"	"2010"	"California"	"06"					234012	37253956	628.2
	"2010"	"2010"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	141	40203	350.7
	"2010"	"2010"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	171	41583	411.2
"Total"	"2010"	"2010"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			312	81786	381.5
	"2010"	"2010"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	258	94959	271.7
	"2010"	"2010"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	249	83317	298.9
"Total"	"2010"	"2010"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			507	178276	284.4
	"2010"	"2010"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	183	43903	416.8
	"2010"	"2010"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	228	50373	452.6
"Total"	"2010"	"2010"	"Oregon"	"41"	"Black or African American"	"2054-5"			411	94276	436.0
	"2010"	"2010"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15420	1756007	878.1
	"2010"	"2010"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	15240	1720729	885.7
"Total"	"2010"	"2010"	"Oregon"	"41"	"White"	"2106-3"			30660	3476736	881.9
"Total"	"2010"	"2010"	"Oregon"	"41"					31890	3831074	832.4
	"2010"	"2010"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	354	73569	481.2
	"2010"	"2010"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	465	74253	626.2
"Total"	"2010"	"2010"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			819	147822	554.0
	"2010"	"2010"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	917	311576	294.3
	"2010"	"2010"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	864	274269	315.0
"Total"	"2010"	"2010"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1781	585845	304.0
	"2010"	"2010"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	596	145489	409.7
	"2010"	"2010"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	717	165380	433.5
"Total"	"2010"	"2010"	"Washington"	"53"	"Black or African American"	"2054-5"			1313	310869	422.4
	"2010"	"2010"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	22019	2844199	774.2
	"2010"	"2010"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	22214	2835805	783.3
"Total"	"2010"	"2010"	"Washington"	"53"	"White"	"2106-3"			44233	5680004	778.7
"Total"	"2010"	"2010"	"Washington"	"53"					48146	6724540	716.0
"Total"	"2010"	"2010"							314048	47809570	656.9
	"2011"	"2011"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	695	373598	186.0
	"2011"	"2011"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	885	382843	231.2
"Total"	"2011"	"2011"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1580	756441	208.9
	"2011"	"2011"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	10511	2951212	356.2
	"2011"	"2011"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	10826	2683668	403.4
"Total"	"2011"	"2011"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			21337	5634880	378.7
	"2011"	"2011"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	9008	1390229	648.0
	"2011"	"2011"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9508	1359280	699.5
"Total"	"2011"	"2011"	"California"	"06"	"Black or African American"	"2054-5"			18516	2749509	673.4
	"2011"	"2011"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	98164	14228546	689.9
	"2011"	"2011"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	100345	14322536	700.6
"Total"	"2011"	"2011"	"California"	"06"	"White"	"2106-3"			198509	28551082	695.3
"Total"	"2011"	"2011"	"California"	"06"					239942	37691912	636.6
	"2011"	"2011"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	148	40932	361.6
	"2011"	"2011"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	172	42788	402.0
"Total"	"2011"	"2011"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			320	83720	382.2
	"2011"	"2011"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	241	98521	244.6
	"2011"	"2011"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	250	86541	288.9
"Total"	"2011"	"2011"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			491	185062	265.3
	"2011"	"2011"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	172	45739	376.0
	"2011"	"2011"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	266	52173	509.8
"Total"	"2011"	"2011"	"Oregon"	"41"	"Black or African American"	"2054-5"			438	97912	447.3
	"2011"	"2011"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15749	1770047	889.8
	"2011"	"2011"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	15790	1735118	910.0
"Total"	"2011"	"2011"	"Oregon"	"41"	"White"	"2106-3"			31539	3505165	899.8
"Total"	"2011"	"2011"	"Oregon"	"41"					32788	3871859	846.8
	"2011"	"2011"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	342	74765	457.4
	"2011"	"2011"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	424	75569	561.1
"Total"	"2011"	"2011"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			766	150334	509.5
	"2011"	"2011"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	997	322192	309.4
	"2011"	"2011"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	928	284364	326.3
"Total"	"2011"	"2011"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1925	606556	317.4
	"2011"	"2011"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	566	150815	375.3
	"2011"	"2011"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	769	173727	442.6
"Total"	"2011"	"2011"	"Washington"	"53"	"Black or African American"	"2054-5"			1335	324542	411.3
	"2011"	"2011"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	22745	2872584	791.8
	"2011"	"2011"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	22920	2876022	796.9
"Total"	"2011"	"2011"	"Washington"	"53"	"White"	"2106-3"			45665	5748606	794.4
"Total"	"2011"	"2011"	"Washington"	"53"					49691	6830038	727.5
"Total"	"2011"	"2011"							322421	48393809	666.2
	"2012"	"2012"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	693	375651	184.5
	"2012"	"2012"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	900	384841	233.9
"Total"	"2012"	"2012"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1593	760492	209.5
	"2012"	"2012"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	10972	3036923	361.3
	"2012"	"2012"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	11406	2760053	413.3
"Total"	"2012"	"2012"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			22378	5796976	386.0
	"2012"	"2012"	"California"	"06"	"Black or African American"	"2054-5"	"Female"	"F"	8934	1399358	638.4
	"2012"	"2012"	"California"	"06"	"Black or African American"	"2054-5"	"Male"	"M"	9522	1368031	696.0
"Total"	"2012"	"2012"	"California"	"06"	"Black or African American"	"2054-5"			18456	2767389	666.9
	"2012"	"2012"	"California"	"06"	"White"	"2106-3"	"Female"	"F"	98552	14310934	688.6
	"2012"	"2012"	"California"	"06"	"White"	"2106-3"	"Male"	"M"	101575	14405639	705.1
"Total"	"2012"	"2012"	"California"	"06"	"White"	"2106-3"			200127	28716573	696.9
"Total"	"2012"	"2012"	"California"	"06"					242554	38041430	637.6
	"2012"	"2012"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	145	41492	349.5
	"2012"	"2012"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	187	42868	436.2
"Total"	"2012"	"2012"	"Oregon"	"41"	"American Indian or Alaska Native"	"1002-5"			332	84360	393.6
	"2012"	"2012"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	297	102233	290.5
	"2012"	"2012"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	298	90081	330.8
"Total"	"2012"	"2012"	"Oregon"	"41"	"Asian or Pacific Islander"	"A-PI"			595	192314	309.4
	"2012"	"2012"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Female"	"F"	195	46539	419.0
	"2012"	"2012"	"Oregon"	"41"	"Black or African American"	"2054-5"	"Male"	"M"	298	53292	559.2
"Total"	"2012"	"2012"	"Oregon"	"41"	"Black or African American"	"2054-5"			493	99831	493.8
	"2012"	"2012"	"Oregon"	"41"	"White"	"2106-3"	"Female"	"F"	15611	1778377	877.8
	"2012"	"2012"	"Oregon"	"41"	"White"	"2106-3"	"Male"	"M"	15728	1744471	901.6
"Total"	"2012"	"2012"	"Oregon"	"41"	"White"	"2106-3"			31339	3522848	889.6
"Total"	"2012"	"2012"	"Oregon"	"41"					32759	3899353	840.1
	"2012"	"2012"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	343	75780	452.6
	"2012"	"2012"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	448	76548	585.3
"Total"	"2012"	"2012"	"Washington"	"53"	"American Indian or Alaska Native"	"1002-5"			791	152328	519.3
	"2012"	"2012"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	958	335760	285.3
	"2012"	"2012"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	941	296587	317.3
"Total"	"2012"	"2012"	"Washington"	"53"	"Asian or Pacific Islander"	"A-PI"			1899	632347	300.3
	"2012"	"2012"	"Washington"	"53"	"Black or African American"	"2054-5"	"Female"	"F"	575	155214	370.5
	"2012"	"2012"	"Washington"	"53"	"Black or African American"	"2054-5"	"Male"	"M"	806	177934	453.0
"Total"	"2012"	"2012"	"Washington"	"53"	"Black or African American"	"2054-5"			1381	333148	414.5
	"2012"	"2012"	"Washington"	"53"	"White"	"2106-3"	"Female"	"F"	22667	2888708	784.7
	"2012"	"2012"	"Washington"	"53"	"White"	"2106-3"	"Male"	"M"	23367	2890481	808.4
"Total"	"2012"	"2012"	"Washington"	"53"	"White"	"2106-3"			46034	5779189	796.5
"Total"	"2012"	"2012"	"Washington"	"53"					50105	6897012	726.5
"Total"	"2012"	"2012"							325418	48837795	666.3
	"2013"	"2013"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Female"	"F"	792	377240	209.9
	"2013"	"2013"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"	"Male"	"M"	970	386212	251.2
"Total"	"2013"	"2013"	"California"	"06"	"American Indian or Alaska Native"	"1002-5"			1762	763452	230.8
	"2013"	"2013"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	11418	3101408	368.2
	"2013"	"2013"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	12033	2816510	427.2
"Total"	"2013"	"2013"	"California"	"06"	"Asian or Pacific Islander"	"A-PI"			23451	5917918	396.3
