County,Year,Month,EstTotalAcres
Curry,2018,8,0.05
Curry,2018,9,0.01
Curry,2018,11,93.6
Curry,2018,12,3.5
Curry,2019,6,1.23
Curry,2019,7,0.01
Curry,2019,8,0.09
Curry,2019,9,0.02
Curry,2019,10,10.39
Curry,2019,12,0.01
Curry,2020,3,14.5
Curry,2020,9,4.9
Curry,2020,10,0.01
Curry,2021,1,0.01
Curry,2021,4,0.5
Curry,2021,5,0.08
Curry,2021,7,0.15
Curry,2021,8,1.08
Curry,2022,2,8.01
Curry,2022,3,0.01
Curry,2022,6,24.0
Curry,2022,7,0.22
Curry,2022,8,0.02
Curry,2022,9,0.9199999999999999
Curry,2022,10,1.6199999999999999
Curry,2022,11,0.0
Deschutes,2000,4,1.05
Deschutes,2000,5,0.71
Deschutes,2000,6,0.5800000000000001
Deschutes,2000,7,3.08
Deschutes,2000,8,1.21
Deschutes,2000,9,0.04
Deschutes,2000,10,0.01
Deschutes,2001,4,7.0200000000000005
Deschutes,2001,5,225.99
Deschutes,2001,6,2.69
Deschutes,2001,7,4.39
Deschutes,2001,8,1.4000000000000001
Deschutes,2001,9,0.5700000000000001
Deschutes,2001,10,0.11
Deschutes,2001,11,6.2
Deschutes,2002,4,5.0
Deschutes,2002,5,13.999999999999998
Deschutes,2002,6,0.71
Deschutes,2002,7,4204.72
Deschutes,2002,8,1.51
Deschutes,2002,9,0.56
Deschutes,2002,10,0.8200000000000001
Deschutes,2002,11,30.52
Deschutes,2002,12,0.01
Deschutes,2003,4,1.5
Deschutes,2003,5,2.27
Deschutes,2003,6,1.57
Deschutes,2003,7,0.44
Deschutes,2003,8,0.5700000000000001
Deschutes,2003,9,0.30000000000000004
Deschutes,2003,10,0.85
Deschutes,2004,3,0.1
Deschutes,2004,4,0.25
Deschutes,2004,5,0.73
Deschutes,2004,6,0.21000000000000002
Deschutes,2004,7,0.44000000000000006
Deschutes,2004,8,13.339999999999998
Deschutes,2004,9,0.2
Deschutes,2005,3,4.16
Deschutes,2005,5,1.75
Deschutes,2005,6,0.4
Deschutes,2005,7,0.4
Deschutes,2005,8,140.46
Deschutes,2005,9,0.12000000000000001
Deschutes,2005,10,1.0
Deschutes,2006,4,9.3
Deschutes,2006,5,2.18
Deschutes,2006,6,0.36
Deschutes,2006,7,9405.18
Deschutes,2006,8,5238.74
Deschutes,2006,9,7.119999999999999
Deschutes,2006,10,1.85
Deschutes,2007,3,0.8
Deschutes,2007,4,24.0
Deschutes,2007,5,92.71000000000001
Deschutes,2007,6,2.2199999999999998
Deschutes,2007,7,0.43000000000000005
Deschutes,2007,8,7363.200000000001
Deschutes,2007,9,0.11
Deschutes,2007,10,0.01
Deschutes,2008,3,1.0
Deschutes,2008,4,0.25
Deschutes,2008,5,3.85
Deschutes,2008,6,0.41000000000000003
Deschutes,2008,7,0.88
Deschutes,2008,8,13.98
Deschutes,2008,9,3.3
Deschutes,2008,10,0.17
Deschutes,2009,4,0.1
Deschutes,2009,5,1.9
Deschutes,2009,6,0.8
Deschutes,2009,7,0.52
Deschutes,2009,8,0.53
Deschutes,2009,9,0.79
Deschutes,2009,10,0.25
Deschutes,2010,5,1.4
Deschutes,2010,6,0.01
Deschutes,2010,7,5.25
Deschutes,2010,8,6038.16
Deschutes,2010,9,0.4
Deschutes,2011,4,0.15
Deschutes,2011,5,0.25
Deschutes,2011,6,0.41
Deschutes,2011,7,1.59
Deschutes,2011,8,0.62
Deschutes,2011,9,0.62
Deschutes,2011,10,1.01
Deschutes,2011,11,0.28
Deschutes,2012,3,5.0
Deschutes,2012,4,1.8
Deschutes,2012,5,0.53
Deschutes,2012,7,1.8
Deschutes,2012,8,1.1400000000000001
Deschutes,2012,9,26795.43
Deschutes,2012,10,0.1
Deschutes,2013,3,0.4
Deschutes,2013,4,0.21000000000000002
Deschutes,2013,5,169.41000000000003
Deschutes,2013,6,0.03
Deschutes,2013,7,13.879999999999999
Deschutes,2013,8,0.68
Deschutes,2013,9,0.45
Deschutes,2013,10,5.01
Deschutes,2014,5,0.6000000000000001
Deschutes,2014,6,6910.14
Deschutes,2014,7,0.52
Deschutes,2014,8,3.0
Deschutes,2014,9,6.66
Deschutes,2014,10,1.4
Deschutes,2015,3,8.5
Deschutes,2015,4,5.8
Deschutes,2015,5,0.1
Deschutes,2015,6,7.8
Deschutes,2015,7,1.06
Deschutes,2015,8,1.42
Deschutes,2015,9,0.01
Deschutes,2015,10,0.30000000000000004
Deschutes,2015,11,0.25
Deschutes,2015,12,0.1
Deschutes,2016,2,0.1
Deschutes,2016,4,0.35
Deschutes,2016,5,0.26
Deschutes,2016,6,0.72
Deschutes,2016,7,1.12
Deschutes,2016,8,0.54
Deschutes,2016,9,1.62
Deschutes,2016,10,0.05
Deschutes,2017,4,0.6
Deschutes,2017,5,0.1
Deschutes,2017,6,0.43
Deschutes,2017,7,0.54
Deschutes,2017,8,24079.96
Deschutes,2017,9,0.27
Deschutes,2017,10,0.05
Deschutes,2018,4,0.2
Deschutes,2018,5,3.1599999999999997
Deschutes,2018,6,1.15
Deschutes,2018,7,10.700000000000001
Deschutes,2018,8,0.22
Deschutes,2018,9,3.9899999999999998
Deschutes,2018,10,1.6
Deschutes,2018,11,0.0
Deschutes,2019,4,0.5
Deschutes,2019,5,11.92
Deschutes,2019,6,0.27
Deschutes,2019,7,0.22000000000000003
Deschutes,2019,8,6.420000000000001
Deschutes,2019,9,0.05
Deschutes,2019,10,2.5
Deschutes,2020,2,8.55
Deschutes,2020,4,1.44
Deschutes,2020,5,0.49
Deschutes,2020,6,0.37
Deschutes,2020,7,51.82
Deschutes,2020,8,1.06
Deschutes,2020,9,0.47000000000000003
Deschutes,2020,11,0.5
Deschutes,2021,3,212.0
Deschutes,2021,4,0.8200000000000001
Deschutes,2021,5,0.26
Deschutes,2021,6,0.7100000000000001
Deschutes,2021,7,1372.44
Deschutes,2021,8,0.28
Deschutes,2021,9,0.2
Deschutes,2021,10,0.01
Deschutes,2021,11,0.01
Deschutes,2022,3,0.35
Deschutes,2022,5,0.01
Deschutes,2022,6,2.8099999999999996
Deschutes,2022,7,1.9100000000000001
Deschutes,2022,8,0.22
Deschutes,2022,9,0.1
Deschutes,2022,10,0.3
Deschutes,2022,11,0.0
Douglas,2000,4,3.01
Douglas,2000,5,0.02
Douglas,2000,6,22.07
Douglas,2000,7,5.19
Douglas,2000,8,163.27
Douglas,2000,9,8.72
Douglas,2000,10,38.14000000000001
Douglas,2000,11,0.31000000000000005
Douglas,2001,3,0.01
Douglas,2001,4,1.0
Douglas,2001,5,34.37
Douglas,2001,6,60.919999999999995
Douglas,2001,7,36.52
Douglas,2001,8,121.42999999999999
Douglas,2001,9,101.61
Douglas,2001,10,106.24000000000001
Douglas,2001,11,2.25
Douglas,2002,3,0.11
Douglas,2002,4,1.27
Douglas,2002,5,1.28
Douglas,2002,6,1.65
Douglas,2002,7,711.47
Douglas,2002,8,30.85
Douglas,2002,9,69.92
Douglas,2002,10,36.72
Douglas,2002,11,44.519999999999996
Douglas,2002,12,0.01
Douglas,2003,1,0.1
Douglas,2003,5,5.36
Douglas,2003,6,61.69
Douglas,2003,7,84.9
Douglas,2003,8,11.68
Douglas,2003,9,51.79
Douglas,2003,10,43.1
Douglas,2003,11,0.01
Douglas,2004,4,11.64
Douglas,2004,5,0.31000000000000005
Douglas,2004,6,4.02
Douglas,2004,7,24.03
Douglas,2004,8,4708.52
Douglas,2004,9,159.86
Douglas,2004,10,1.02
Douglas,2004,12,0.1
Douglas,2005,2,0.02
Douglas,2005,3,38.21
Douglas,2005,5,0.03
Douglas,2005,6,52.28
Douglas,2005,7,7.32
Douglas,2005,8,26.959999999999997
Douglas,2005,9,4.9399999999999995
Douglas,2005,10,61.480000000000004
Douglas,2005,11,0.26
Douglas,2006,4,1.58
Douglas,2006,5,3.12
Douglas,2006,6,3.89
Douglas,2006,7,53539.13
Douglas,2006,8,160.54999999999998
Douglas,2006,9,3.8
Douglas,2006,10,18.45
Douglas,2006,11,18.01
Douglas,2006,12,0.01
Douglas,2007,3,1.6
Douglas,2007,4,0.11
Douglas,2007,5,2.0
Douglas,2007,6,4.45
Douglas,2007,7,17.13
Douglas,2007,8,9.52
Douglas,2007,9,35.4
Douglas,2007,10,3.13
Douglas,2008,4,1.66
Douglas,2008,5,4.73
Douglas,2008,6,11.52
Douglas,2008,7,183.98
Douglas,2008,8,43.02
Douglas,2008,9,8.959999999999999
Douglas,2008,10,24.23
Douglas,2008,11,0.75
Douglas,2009,1,161.33
Douglas,2009,2,0.01
Douglas,2009,4,2.0
Douglas,2009,5,1.4100000000000001
Douglas,2009,6,10.59
Douglas,2009,7,7966.650000000001
Douglas,2009,8,25.159999999999997
Douglas,2009,9,9.55
Douglas,2009,10,1.4
Douglas,2010,3,2.0
Douglas,2010,5,0.86
Douglas,2010,6,2.01
Douglas,2010,7,3.91
Douglas,2010,8,11.6
Douglas,2010,9,22.72
Douglas,2010,10,2.05
Douglas,2011,2,2.0
Douglas,2011,5,0.01
Douglas,2011,6,1.46
Douglas,2011,7,85.44
Douglas,2011,8,17.18
Douglas,2011,9,25.049999999999997
Douglas,2011,10,0.22000000000000003
Douglas,2011,11,2.36
Douglas,2012,1,0.01
Douglas,2012,2,11.76
Douglas,2012,3,4.26
Douglas,2012,4,0.01
Douglas,2012,5,2.7
Douglas,2012,6,1.37
Douglas,2012,7,0.59
Douglas,2012,8,4.24
Douglas,2012,9,13.780000000000001
Douglas,2012,10,2.11
Douglas,2013,3,0.1
Douglas,2013,4,1.0
Douglas,2013,5,263.52
Douglas,2013,6,44.27
Douglas,2013,7,49670.41
Douglas,2013,8,8.780000000000001
Douglas,2013,9,19.3
Douglas,2013,10,0.03
Douglas,2013,11,0.02
Douglas,2013,12,0.01
Douglas,2014,1,3.1
Douglas,2014,3,0.6
Douglas,2014,4,3.13
Douglas,2014,5,2.26
Douglas,2014,6,3.95
Douglas,2014,7,12.93
Douglas,2014,8,9.52
Douglas,2014,9,873.34
Douglas,2014,10,1.42
Douglas,2015,2,0.25
Douglas,2015,3,1.76
Douglas,2015,4,0.54
Douglas,2015,5,148.99
Douglas,2015,6,120.82
Douglas,2015,7,28310.28
Douglas,2015,8,6.63
Douglas,2015,9,85.0
Douglas,2015,10,8.959999999999999
Douglas,2015,11,0.26
Douglas,2016,2,1.25
Douglas,2016,3,4.0
Douglas,2016,4,18.51
Douglas,2016,5,18.53
Douglas,2016,6,4.34
Douglas,2016,7,14.85
Douglas,2016,8,2.79
Douglas,2016,9,63.75
Douglas,2016,10,0.72
Douglas,2016,11,57.65
Douglas,2016,12,0.01
Douglas,2017,5,58.839999999999996
Douglas,2017,6,3.9400000000000004
Douglas,2017,7,22.21
Douglas,2017,8,19122.76
Douglas,2017,9,4.99
Douglas,2017,10,12.77
Douglas,2017,12,14.1
Douglas,2018,4,10.87
Douglas,2018,5,8.799999999999999
Douglas,2018,6,10.19
Douglas,2018,7,140.31
Douglas,2018,8,108.21
Douglas,2018,9,32.32
Douglas,2018,10,17.080000000000002
Douglas,2018,11,10.0
Douglas,2018,12,0.01
Douglas,2019,3,2.1999999999999997
Douglas,2019,4,8.6
Douglas,2019,5,98.74000000000001
Douglas,2019,6,179.35999999999999
Douglas,2019,7,13129.01
Douglas,2019,8,12.78
Douglas,2019,9,19.86
Douglas,2019,10,2.62
Douglas,2019,11,5.04
Douglas,2020,3,0.25
Douglas,2020,4,76.89999999999999
Douglas,2020,5,2.11
Douglas,2020,6,12.7
Douglas,2020,7,68.3
Douglas,2020,8,31.5
Douglas,2020,9,515.41
Douglas,2020,10,2.76
Douglas,2020,11,1.01
Douglas,2020,12,0.02
Douglas,2021,2,0.01
Douglas,2021,3,0.01
Douglas,2021,4,214.68
Douglas,2021,5,9.040000000000001
Douglas,2021,6,112.24
Douglas,2021,7,9.74
Douglas,2021,8,6982.599999999999
Douglas,2021,9,61.68
Douglas,2021,10,0.12
Douglas,2021,11,0.25
Douglas,2022,1,5.0
Douglas,2022,2,3.02
Douglas,2022,3,0.25
Douglas,2022,5,5.3
Douglas,2022,6,2.67
Douglas,2022,7,2.61
Douglas,2022,8,23.16
Douglas,2022,9,138.86
Douglas,2022,10,30.47
Douglas,2022,11,216.71
ERROR: #N/A,2017,9,0.0
ERROR: #N/A,2019,5,0.0
ERROR: #N/A,2020,9,130000.0
ERROR: #N/A,2022,9,0.0
Gilliam,2000,10,3.0
Gilliam,2003,9,0.8
Gilliam,2007,7,150.0
Grant,2000,6,55.0
Grant,2000,7,116.78
Grant,2000,8,0.23
Grant,2000,9,987.0
Grant,2000,10,1.0
Grant,2001,5,0.2
Grant,2001,6,0.1
Grant,2001,7,191.79999999999998
Grant,2001,8,33064.2
Grant,2001,9,1.18
Grant,2001,10,0.01
Grant,2001,11,54.2
Grant,2002,3,0.25
Grant,2002,6,9.680000000000001
Grant,2002,7,21708.11
Grant,2002,8,9.719999999999999
Grant,2002,9,1.35
Grant,2002,10,0.75
Grant,2002,11,401.13
Grant,2003,5,0.02
Grant,2003,6,26.05
Grant,2003,7,810.11
Grant,2003,8,10.44
Grant,2003,9,5.51
Grant,2003,10,1.4600000000000002
Grant,2003,11,0.1
Grant,2004,3,2.0
Grant,2004,6,0.43000000000000005
Grant,2004,7,1.1
Grant,2004,8,6.24
Grant,2004,9,0.26
Grant,2005,3,9.6
Grant,2005,7,3.13
Grant,2005,8,320.37
Grant,2005,9,0.1
Grant,2005,10,7.5
Grant,2006,6,16.900000000000002
Grant,2006,7,22.290000000000003
Grant,2006,8,15213.76
Grant,2006,9,11.549999999999999
Grant,2007,5,17.0
Grant,2007,6,924.0
Grant,2007,7,56588.11
Grant,2007,8,6999.4400000000005
Grant,2007,9,6.6
Grant,2007,11,1.1
Grant,2008,5,0.33
Grant,2008,6,55.01
Grant,2008,7,5.41
Grant,2008,8,344.16
Grant,2008,9,0.060000000000000005
Grant,2008,10,1.25
Grant,2008,11,3.0
Grant,2009,4,0.25
Grant,2009,5,55.75
Grant,2009,6,7.220000000000001
Grant,2009,7,801.0500000000001
Grant,2009,8,14131.91
Grant,2009,10,77.85
Grant,2009,11,28.03
Grant,2010,7,10.0
Grant,2010,8,47.9
Grant,2010,9,19.63
Grant,2011,7,0.25
Grant,2011,8,100.6
Grant,2011,9,0.36
Grant,2011,10,51.480000000000004
Grant,2011,12,0.1
Grant,2012,3,31.8
Grant,2012,5,6.0
Grant,2012,6,0.51
Grant,2012,7,1137.36
Grant,2012,8,5.0
Grant,2012,9,0.01
Grant,2012,10,0.02
Grant,2013,3,0.25
Grant,2013,5,0.6
Grant,2013,6,0.26
Grant,2013,7,503.06
Grant,2013,8,15083.18
Grant,2013,9,37.06
Grant,2014,7,7921.54
Grant,2014,8,68897.11
Grant,2014,9,47.230000000000004
Grant,2015,3,39.0
Grant,2015,5,0.1
Grant,2015,6,1309.08
Grant,2015,7,12.39
Grant,2015,8,110395.2
Grant,2015,10,95.05
Grant,2016,4,0.5
Grant,2016,6,128.09
Grant,2016,7,12.350000000000001
Grant,2016,8,0.5
Grant,2016,9,19.0
Grant,2017,6,2.08
Grant,2017,7,2.82
Grant,2017,8,281.33
Grant,2017,9,4.2
Grant,2017,10,13.1
Grant,2018,5,1.5999999999999999
Grant,2018,6,31.61
Grant,2018,7,28.67
Grant,2018,8,992.3
Grant,2018,9,26.450000000000003
Grant,2018,10,6.15
Grant,2018,11,0.25
Grant,2019,6,2.5
Grant,2019,7,55.050000000000004
Grant,2019,8,5.15
Grant,2019,9,7.45
Grant,2019,10,0.1
Grant,2019,11,0.6
Grant,2020,4,0.1
Grant,2020,5,0.30000000000000004
Grant,2020,7,195.35000000000002
Grant,2020,8,1064.02
Grant,2020,9,676.2
Grant,2021,4,43.82
Grant,2021,5,0.1
Grant,2021,6,185.15
Grant,2021,7,543.86
Grant,2021,8,22501.47
Grant,2021,9,7.5
Grant,2022,6,0.1
Grant,2022,7,0.36
Grant,2022,8,3.43
Grant,2022,9,2.81
Grant,2022,10,19.8
Harney,2002,8,0.01
Harney,2004,9,1.5
Harney,2005,8,167.0
Harney,2006,7,713.0
Harney,2006,8,28.91
Harney,2007,7,142723.81
Harney,2007,9,0.1
Harney,2008,7,0.01
Harney,2008,8,0.33
Harney,2009,7,0.1
Harney,2011,8,275.07
Harney,2011,9,1.8
Harney,2014,5,1.0
Harney,2014,7,30.5
Harney,2014,8,0.5
Harney,2017,7,0.1
Harney,2017,8,78.0
Harney,2019,9,0.1
Harney,2021,7,0.1
Harney,2021,9,2630.0
Hood River,2000,7,0.51
Hood River,2000,8,16.020000000000003
Hood River,2000,9,0.15
Hood River,2001,6,1.5
Hood River,2001,7,1.75
Hood River,2001,8,0.29000000000000004
Hood River,2001,9,4.01
Hood River,2002,6,1.01
Hood River,2002,7,0.12
Hood River,2002,9,0.01
Hood River,2002,10,0.01
Hood River,2003,6,2.51
Hood River,2003,7,0.54
Hood River,2003,8,0.13
Hood River,2003,9,375.64
Hood River,2004,6,3.8099999999999996
Hood River,2004,7,9.85
Hood River,2004,8,95.08000000000001
Hood River,2004,9,0.01
Hood River,2005,6,0.01
Hood River,2005,7,0.05
Hood River,2005,8,0.53
Hood River,2005,9,0.02
Hood River,2006,6,0.31
Hood River,2006,7,0.27
Hood River,2006,8,0.16
Hood River,2006,9,0.02
Hood River,2006,10,0.14
Hood River,2007,5,1.26
Hood River,2007,6,0.42
Hood River,2007,7,12.13
Hood River,2007,8,0.04
Hood River,2007,9,0.01
Hood River,2008,6,0.58
Hood River,2008,7,2.05
Hood River,2008,8,3280.01
Hood River,2008,9,0.01
Hood River,2008,10,0.2
Hood River,2009,5,0.1
Hood River,2009,6,0.11
Hood River,2009,7,0.31
Hood River,2009,8,1264.2099999999998
Hood River,2009,9,0.22
Hood River,2010,3,2.5
Hood River,2010,5,14.7
Hood River,2010,6,0.01
Hood River,2010,7,0.03
Hood River,2010,8,0.02
Hood River,2010,9,1.25
Hood River,2011,7,0.12000000000000001
Hood River,2011,8,6304.4
Hood River,2011,9,0.8
Hood River,2011,10,0.01
Hood River,2012,6,0.7
Hood River,2012,7,1.28
Hood River,2012,8,0.29000000000000004
Hood River,2012,9,61.68
Hood River,2013,5,0.02
Hood River,2013,6,0.11
Hood River,2013,7,0.1
Hood River,2013,8,0.15
Hood River,2013,9,0.43
Hood River,2014,6,20.900000000000002
Hood River,2014,8,1.55
Hood River,2014,9,0.56
Hood River,2014,10,0.1
Hood River,2015,3,0.01
Hood River,2015,4,0.11
Hood River,2015,5,0.01
Hood River,2015,6,1.55
Hood River,2015,7,4.5
Hood River,2015,8,0.01
Hood River,2015,9,4.07
Hood River,2015,10,0.02
Hood River,2016,4,0.1
Hood River,2016,6,0.89
Hood River,2016,7,0.22000000000000003
Hood River,2016,8,15.2
Hood River,2016,9,1.45
Hood River,2017,5,0.01
Hood River,2017,6,0.02
Hood River,2017,7,0.22
Hood River,2017,8,0.01
Hood River,2017,9,29493.68
Hood River,2017,10,14.7
Hood River,2018,5,0.01
Hood River,2018,6,0.44
Hood River,2018,7,0.25
Hood River,2018,8,7.0
Hood River,2018,9,0.01
Hood River,2019,5,0.74
Hood River,2019,6,81.46
Hood River,2019,7,0.76
Hood River,2019,8,1.1199999999999999
Hood River,2019,9,0.01
Hood River,2020,5,0.07
Hood River,2020,6,0.2
Hood River,2020,7,1.08
Hood River,2020,8,314.61
Hood River,2020,9,0.1
Hood River,2020,10,2.04
Hood River,2021,4,7.56
Hood River,2021,5,0.5900000000000001
Hood River,2021,6,0.8
Hood River,2021,7,0.1
Hood River,2021,8,1.3
Hood River,2021,9,0.1
Hood River,2022,7,14.7
Hood River,2022,8,0.5
Hood River,2022,9,0.1
Hood River,2022,10,8.129999999999999
Jackson,2000,4,1.1
Jackson,2000,5,7.0
Jackson,2000,6,3.55
Jackson,2000,7,74.91
Jackson,2000,8,389.5
Jackson,2000,9,10.639999999999999
Jackson,2000,10,43.75
Jackson,2001,1,208.25
Jackson,2001,2,10.0
Jackson,2001,3,3.11
Jackson,2001,5,32.300000000000004
Jackson,2001,6,4.61
Jackson,2001,7,152.63000000000002
Jackson,2001,8,6193.36
Jackson,2001,9,20.130000000000003
Jackson,2001,10,33.3
Jackson,2001,11,12.26
Jackson,2002,2,0.02
Jackson,2002,4,1.1099999999999999
Jackson,2002,5,2.03
Jackson,2002,6,14.28
Jackson,2002,7,30908.129999999997
Jackson,2002,8,1950.8
Jackson,2002,9,0.89
Jackson,2002,10,28.6
Jackson,2002,11,10.1
Jackson,2002,12,85.25
Jackson,2003,3,0.25
Jackson,2003,5,0.51
Jackson,2003,6,3.25
Jackson,2003,7,36.41
Jackson,2003,8,8.41
Jackson,2003,9,784.71
Jackson,2003,10,41.65
Jackson,2003,11,40.0
Jackson,2004,3,4.51
Jackson,2004,4,0.25
Jackson,2004,5,0.21000000000000002
Jackson,2004,6,23.36
Jackson,2004,7,67.3
Jackson,2004,8,26.36
Jackson,2004,9,20.919999999999998
Jackson,2004,10,2.13
Jackson,2005,3,21.0
Jackson,2005,4,0.25
Jackson,2005,5,0.13
Jackson,2005,6,4.55
Jackson,2005,7,1525.25
Jackson,2005,8,82.08
Jackson,2005,9,22.509999999999998
Jackson,2005,10,12.27
Jackson,2006,2,30.0
Jackson,2006,4,3.2
Jackson,2006,5,15.44
Jackson,2006,6,27.009999999999998
Jackson,2006,7,8.64
Jackson,2006,8,27.09
Jackson,2006,9,16.41
Jackson,2006,10,1.9000000000000001
Jackson,2006,11,1.2
Jackson,2007,3,0.1
Jackson,2007,4,6.5
Jackson,2007,5,28.56
Jackson,2007,6,172.1
Jackson,2007,7,164.24
Jackson,2007,8,28.470000000000002
Jackson,2007,9,2.3
Jackson,2007,10,51.730000000000004
Jackson,2008,4,1.0
Jackson,2008,5,10.28
Jackson,2008,6,105.89
Jackson,2008,7,28.69
Jackson,2008,8,51.76
Jackson,2008,9,1315.5
Jackson,2008,10,23.99
Jackson,2008,12,0.1
Jackson,2009,4,19.8
Jackson,2009,5,18.17
Jackson,2009,6,7.55
Jackson,2009,7,179.98
Jackson,2009,8,22.330000000000002
Jackson,2009,9,865.68
Jackson,2009,10,18.25
Jackson,2009,11,7.91
Jackson,2010,1,2.0
Jackson,2010,3,0.1
Jackson,2010,4,0.3
Jackson,2010,6,0.27
Jackson,2010,7,87.49
Jackson,2010,8,31.009999999999998
Jackson,2010,9,321.64
Jackson,2010,10,8.66
Jackson,2010,11,15.0
Jackson,2011,5,0.5
Jackson,2011,6,0.52
Jackson,2011,7,5.7700000000000005
Jackson,2011,8,578.17
Jackson,2011,9,282.88
Jackson,2011,10,6.43
Jackson,2011,11,3.0
Jackson,2011,12,35.5
Jackson,2012,1,3.7
Jackson,2012,2,1.5
Jackson,2012,4,0.36
Jackson,2012,5,30.060000000000002
Jackson,2012,6,11.94
Jackson,2012,7,13.690000000000001
Jackson,2012,8,27.82
Jackson,2012,9,49.89
Jackson,2012,10,6.35
Jackson,2012,11,0.01
Jackson,2013,4,17.85
Jackson,2013,5,14.72
Jackson,2013,6,107.13000000000001
Jackson,2013,7,12.99
Jackson,2013,8,20.41
Jackson,2013,9,5.85
Jackson,2013,10,1.9599999999999997
Jackson,2013,11,0.01
Jackson,2014,1,143.1
Jackson,2014,2,0.01
Jackson,2014,3,2.71
Jackson,2014,4,0.56
Jackson,2014,5,29.64
Jackson,2014,6,54.739999999999995
Jackson,2014,7,70454.45999999999
Jackson,2014,8,543.1700000000001
Jackson,2014,9,22.55
Jackson,2014,10,0.12000000000000001
Jackson,2014,11,0.01
Jackson,2015,1,0.01
Jackson,2015,2,0.1
Jackson,2015,4,3.18
Jackson,2015,5,9.6
Jackson,2015,6,87.4
Jackson,2015,7,6.11
Jackson,2015,8,7.62
Jackson,2015,9,7.76
Jackson,2015,10,95.29
Jackson,2016,4,3.71
Jackson,2016,5,6.82
Jackson,2016,6,5.78
Jackson,2016,7,16.62
Jackson,2016,8,544.78
Jackson,2016,9,24.16
Jackson,2016,10,8.74
Jackson,2016,11,3.0
Jackson,2017,5,3.18
Jackson,2017,6,28.13
Jackson,2017,7,43.9
Jackson,2017,8,30100.329999999998
Jackson,2017,9,9.82
Jackson,2017,10,11.03
Jackson,2017,11,0.1
Jackson,2017,12,75.0
Jackson,2018,4,2.97
Jackson,2018,5,14.1
Jackson,2018,6,16.86
Jackson,2018,7,39955.15
Jackson,2018,8,1984.22
Jackson,2018,9,5.58
Jackson,2018,10,2.03
Jackson,2018,11,20.6
Jackson,2018,12,1.02
Jackson,2019,3,15.0
Jackson,2019,4,0.01
Jackson,2019,5,364.06
Jackson,2019,6,3.0300000000000002
Jackson,2019,7,13.41
Jackson,2019,8,218.39
Jackson,2019,9,7.07
Jackson,2019,10,22.259999999999998
Jackson,2019,11,5.19
Jackson,2020,2,0.25
Jackson,2020,3,2.11
Jackson,2020,4,4.85
Jackson,2020,5,4.6
Jackson,2020,6,0.78
Jackson,2020,7,829.15
Jackson,2020,8,8.76
Jackson,2020,9,36229.81
Jackson,2020,10,3.4899999999999998
Jackson,2020,11,0.01
Jackson,2020,12,0.5
Jackson,2021,4,55.209999999999994
Jackson,2021,5,51.67
Jackson,2021,6,63.22
Jackson,2021,7,12.74
Jackson,2021,8,94.96
Jackson,2021,9,29.85
Jackson,2021,10,0.3
Jackson,2022,3,2.85
Jackson,2022,4,2.5
Jackson,2022,5,1.53
Jackson,2022,6,10.39
Jackson,2022,7,13.69
Jackson,2022,8,202.97
Jackson,2022,9,4.84
Jackson,2022,10,30.759999999999998
Jefferson,2000,5,0.4
Jefferson,2000,7,155.04
Jefferson,2000,9,94.0
Jefferson,2000,10,0.2
Jefferson,2001,3,0.2
Jefferson,2001,5,20.51
Jefferson,2001,6,0.45
Jefferson,2001,7,13.07
Jefferson,2001,8,0.01
Jefferson,2001,9,2.5
Jefferson,2002,5,2.5
Jefferson,2002,6,194.1
Jefferson,2002,7,24703.36
Jefferson,2002,8,0.01
Jefferson,2002,9,0.2
Jefferson,2003,6,1.0
Jefferson,2003,7,3583.0
Jefferson,2003,8,90376.01
Jefferson,2003,9,150.5
Jefferson,2004,6,0.01
Jefferson,2004,7,12.1
Jefferson,2004,8,39.870000000000005
Jefferson,2005,5,0.01
Jefferson,2005,8,129.0
Jefferson,2006,5,0.02
Jefferson,2006,6,0.6
Jefferson,2006,7,19.54
Jefferson,2006,8,1.26
Jefferson,2006,10,0.72
Jefferson,2007,6,40.81
Jefferson,2007,7,1141.84
Jefferson,2007,8,0.2
Jefferson,2007,10,0.15
Jefferson,2008,8,1932.2199999999998
Jefferson,2009,6,0.05
Jefferson,2009,7,0.8
Jefferson,2009,8,16602.51
Jefferson,2010,2,0.1
Jefferson,2010,7,1.5999999999999999
Jefferson,2010,8,0.1
Jefferson,2010,9,0.1
Jefferson,2011,5,0.15
Jefferson,2011,7,0.51
Jefferson,2011,8,14.530000000000001
Jefferson,2011,9,0.1
Jefferson,2012,4,0.5
Jefferson,2012,7,0.6
Jefferson,2012,8,1337.35
Jefferson,2013,6,3.0
Jefferson,2013,7,500.3
Jefferson,2013,8,154.12
Jefferson,2013,9,0.30000000000000004
Jefferson,2014,4,0.9
Jefferson,2014,7,22763.38
Jefferson,2014,8,0.36
Jefferson,2015,5,0.1
Jefferson,2015,7,0.43
Jefferson,2015,8,282.0
Jefferson,2016,5,5.9
Jefferson,2016,6,2096.5
Jefferson,2016,7,2.01
Jefferson,2017,5,0.1
Jefferson,2017,6,0.2
Jefferson,2017,9,57.6
Jefferson,2018,5,1.06
Jefferson,2018,6,2175.92
Jefferson,2018,8,359.5
Jefferson,2019,6,0.9
Jefferson,2019,7,0.01
Jefferson,2019,8,0.81
Jefferson,2020,5,0.02
Jefferson,2020,8,4338.0
Jefferson,2020,9,0.1
Jefferson,2021,7,6032.1
